Price,Sales_Rank,Title,Number_of_Reviews,Ratings,Author,Publication Date,Genre
12.49,1,The Lost Symbol,0.230147817,4.4,Dan Brown,2009,Fiction
13.4,2,The Shack: Where Tragedy Confronts Eternity,0.334335969,4.7,William P. Young,2009,Fiction
9.93,3,Liberty and Tyranny: A Conservative Manifesto,0.071416294,4.8,Mark R. Levin,2009,Non Fiction
14.3,4,"Breaking Dawn (The Twilight Saga, Book 4)",0.241520568,4.7,Stephenie Meyer,2009,Fiction
9.99,5,Going Rogue: An American Life,0.02180016,4.6,Sarah Palin,2009,Non Fiction
18.29,6,StrengthsFinder 2.0,0.100721898,4.7,Gallup,2009,Non Fiction
12.66,7,The Help,0.258078377,4.8,Kathryn Stockett,2009,Fiction
17.56,8,New Moon (The Twilight Saga),0.17587659,4.7,Stephenie Meyer,2009,Fiction
12.15,9,The Twilight Saga Collection,0.086656354,4.7,Stephenie Meyer,2009,Fiction
16.04,10,Outliers: The Story of Success,0.317391429,4.7,Malcolm Gladwell,2009,Non Fiction
19.62,11,Eclipse (Twilight),0.182207517,4.7,Stephenie Meyer,2009,Fiction
15.49,12,"Twilight (The Twilight Saga, Book 1)",0.315873152,4.7,Stephenie Meyer,2009,Fiction
5.91,13,"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",0.019637332,4.6,Glenn Beck,2009,Non Fiction
11.49,14,Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,0.049372637,4.4,Greg Mortenson,2009,Non Fiction
11.78,15,The Love Dare,0.046522287,4.8,Stephen Kendrick,2009,Non Fiction
20.45,16,"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",0.100163286,4.6,Steve Harvey,2009,Non Fiction
11.6,17,"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",0.113569955,4.7,Jeff Kinney,2009,Fiction
12.15,18,Under the Dome: A Novel,0.12976968,4.4,Stephen King,2009,Fiction
10.42,19,The Guernsey Literary and Potato Peel Pie Society,0.212472786,4.7,Mary Ann Shaffer,2009,Fiction
10.76,20,Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,0.012590237,4.5,David Zinczenko,2009,Non Fiction
10.5,21,Arguing with Idiots: How to Stop Small Minds and Big Government,0.012103243,4.6,Glenn Beck,2009,Non Fiction
12.15,22,"Mastering the Art of French Cooking, Volume I: 50th Anniversary Edition: A Cookbook",0.107683053,4.8,Julia Child,2009,Non Fiction
12.15,23,Sookie Stackhouse,0.013535579,4.7,Charlaine Harris,2009,Fiction
9.99,24,The Time Traveler's Wife,0.093703449,4.5,Audrey Niffenegger,2009,Fiction
24.29,25,"Publication Manual of the American Psychological Association, 6th Edition",0.180818151,4.5,American Psychological Association,2009,Non Fiction
13.98,26,True Compass: A Memoir,0.006574424,4.5,Edward M. Kennedy,2009,Non Fiction
9.49,27,The Girl with the Dragon Tattoo (Millennium Series),0.220808984,4.5,Stieg Larsson,2009,Fiction
16.6,28,The 5000 Year Leap,0.036023261,4.8,W. Cleon Skousen,2009,Non Fiction
